lemma,id_slovo
mimořádný,1115
minimální,1116
mozek,1117
nakonec,1118
napadat,1119
napadnout,1120
naštěstí,1121
naučit,1122
navrhnout,1123
neustále,1124
Nice,1125
nízký,1126
nulový,1127
oběd,1128
odejít,1129
ODScz,1130
Odvolatelnost,1131
oficiální,1132
ohrožení,1133
okno,1134
Ondráček,1135
OndrejKasik,1136
oproti,1137
Orbán,1138
osobně,1139
OtazkyVM,1140
pálit,1141
parazit,1142
pěkně,1143
pes,1144
pět,1145
podat,1146
podporovatel,1147
podraz,1148
politickybizar,1149
polovina,1150
poprvé,1151
pořádek,1152
postup,1153
použít,1154
povést,1155
povinný,1156
poznat,1157
pozvat,1158
přátelský,1159
prdlo,1160
představa,1161
představit,1162
představitel,1163
preference,1164
přidat,1165
příležitost,1166
příznivec,1167
proběhnout,1168
prohlásit,1169
projednání,1170
projekt,1171
provést,1172
pustit,1173
řádný,1174
rakouský,1175
rasista,1176
reportáž,1177
respekt,1178
rezerva,1179
rozhlas,1180
rozsudek,1181
sdílet,1182
selhat,1183
šířit,1184
slavnost,1185
snaha,1186
šokující,1187
soudce,1188
špatně,1189
spíše,1190
společný,1191
spot,1192
správa,1193
srdce,1194
StB,1195
Sýrie,1196
tentokrát,1197
Teplice,1198
tiskovka,1199
titulek,1200
top,1201
transparentní,1202
trenka,1203
třetí,1204
třída,1205
tweeta,1206
týrání,1207
účastník,1208
upřímně,1209
upřímný,1210
úroveň,1211
vánoční,1212
vemený,1213
veřejně,1214
věta,1215
vlastenec,1216
vs,1217
vydání,1218
vyzvat,1219
vzpomínka,1220
we,1221
žádost,1222
zahájení,1223
zahraniční,1224
založený,1225
zastupitel,1226
zavést,1227
závod,1228
Zeitung,1229
zeptat,1230
zlatý,1231
zločin,1232
změnit,1233
znásilnit,1234
zpívat,1235
ztratit,1236
zveřejnění,1237
zveřejnit,1238
zvolit,1239
